Time,"Population ages 0-14, total [SP.POP.0014.TO]","Population ages 15-64, total [SP.POP.1564.TO]","Population ages 65 and above, total [SP.POP.65UP.TO]","Population, total [SP.POP.TOTL]"
1960,27994280,59307022,5199270,92500572
1961,27921824,61581780,5439396,94943000
1962,27291398,62947183,5593419,95832000
1963,26643474,64412633,5755894,96812000
1964,26051595,65850711,5923694,97826000
1965,25576728,67208139,6098133,98883000
1966,25282977,68212420,6294603,99790000
1967,25039007,69186599,6499394,100725000
1968,24736042,69656907,6668051,101061000
1969,24994444,71224332,6953224,103172000
1970,25161205,72009625,7174170,104345000
1971,25403515,72847041,7446444,105697000
1972,25844040,73624400,7719559,107188000
1973,26232625,73897420,7948955,108079000
1974,26873506,75006176,8282317,110162000
1975,27320351,75998592,8621057,111940000
1976,27614449,76225361,8931190,112771000
1977,27735022,76829586,9298392,113863000
1978,27683851,77530701,9683448,114898000
1979,27597705,78213706,10058589,115870000
1980,27541957,78829853,10410190,116782000
1981,27218290,79640572,10789137,117648000
1982,27032942,80285330,11130728,118449000
1983,26890749,80904240,11464011,119259000
1984,26611565,81590017,11816419,120018000
1985,26134688,82410008,12209304,120754000
1986,25709747,83149045,12633209,121492000
1987,25054373,83955355,13081272,122091000
1988,24262994,84784799,13565207,122613000
1989,23496506,85525820,14093674,123116000
1990,22823141,86051685,14662174,123537000
1991,22206971,86461782,15252247,123921000
1992,21662451,86692319,15874231,124229000
1993,21193771,86814181,16528048,124536000
1994,20776926,86964492,17219583,124961000
1995,20378454,87125896,17934650,125439000
1996,19990692,87113694,18652614,125757000
1997,19648790,87033835,19374375,126057000
1998,19345295,86946840,20107865,126400000
1999,19042930,86762009,20826061,126631000
2000,18751336,86547755,21543909,126843000
2001,18536369,86351962,22260669,127149000
2002,18308488,86157117,22979395,127445000
2003,18083198,85931170,23703633,127718000
2004,17857583,85503611,24399806,127761000
2005,17670280,84991644,25111076,127773000
2006,17499244,84556191,25798566,127854000
2007,17392559,84115042,26493399,128001000
2008,17307781,83560003,27195216,128063000
2009,17211777,82883639,27951585,128047000
2010,17103318,82152248,28814434,128070000
2011,17006452,81221183,29605364,127833000
2012,16888200,80262098,30478702,127629000
2013,16755951,79299566,31389483,127445000
2014,16628514,78379970,32267516,127276000
2015,16517168,77547638,33076195,127141000
2016,16427690,76831284,33735537,126994511
